"","GoodID","COO","Rating","No_of_reviews","RecentSoldnum","Price","Variety","Reserve","Protected_indicator_of_origin","Alcohol_Content","Body","RatingNo_of_reviews"
"614","6202373","智利(Chile)",0.9,9,106,149,"syrah",0,0,13.5,"中低",8.1
"619","6202497","法国(France)",0.9,121,5173,89,"gamay",1,1,12.5,"中",108.9
"620","6202569","美国(USA)",1,0,29,699,"merlot",1,1,14.5,"中高",0
"622","6202586","阿根廷(Argentina)",0.8,12,336,708,"malbec",0,1,14,"中",9.6
"623","6202926","智利(Chile)",0.8,7,305,398,"cabernet",0,1,13.5,"中高",5.6
"633","6203223","智利(Chile)",0.9,6,264,456,"cabernet",0,1,13,"中高",5.4
"642","6203493","法国(France)",1,24,1380,320,"viognier",1,1,13.5,"重",24
"643","6203494","法国(France)",1,10,1036,580,"syrah",1,1,13.5,"重",10
"644","6203495","法国(France)",1,27,1815,280,"syrah",1,1,13.5,"重",27
"649","6203633","法国(France)",0.8,482,142,367,"merlot",0,1,13.5,"中高",385.6
"674","6204762","西班牙(Spain)",1,0,15,155,"tempranillo",1,1,13.5,"中高",0
"684","6204984","法国(France)",1,1,56,239,"muscat",1,1,15,"中",1
"693","6205693","德国(Germany)",0.9,27,281,520,"riesling",1,1,10,"中",24.3
"713","6206610","德国(Germany)",1,53,3589,89,"dornfelder",1,1,11,"中",53
"724","6207452","澳大利亚(Australia)",1,49,659,279,"cabernet",0,1,13.5,"中高",49
"729","6207576","澳大利亚(Australia)",1,0,39,218,"chardonnay",1,1,12,"中低",0
"734","6207946","美国(USA)",0.9,5,195,360,"merlot",1,1,13,"中高",4.5
"736","6208358","意大利(Italy)",0.8,6,146,69,"grillo",0,1,12.5,"中",4.8
"737","6208361","意大利(Italy)",0.9,4,216,69,"chardonnay",0,1,13,"中",3.6
"738","6208362","意大利(Italy)",0.9,10,150,69,"nero",0,1,13,"中",9
"741","6208420","西班牙(Spain)",0.9,16,215,198,"tempranillo",0,1,5,"中",14.4
"744","6210669","西班牙(Spain)",1,20,177,198,"tempranillo",0,1,12,"中低",20
"746","6210750","西班牙(Spain)",0.9,5,1556,108,"grenache",0,1,11,"中",4.5
"750","6211345","新西兰(New",1,0,16,480,"merlot",1,1,13.5,"中",0
"764","6212385","智利(Chile)",1,0,10,158,"cabernet",1,1,13,"中",0
"765","6212386","智利(Chile)",1,0,17,72,"sauvignon",1,1,12.5,"中",0
"817","6213873","智利(Chile)",1,0,11,450,"merlot",1,1,12.5,"中低",0
"821","6214206","智利(Chile)",1,2,38,206,"cabernet",0,1,14.5,"重",2
"822","6214207","智利(Chile)",1,4,36,103,"sauvignon",0,1,13,"中低",4
"856","6215188","法国(France)",1,5,56,228,"merlot",1,1,13,"中",5
"857","6215191","智利(Chile)",0.9,10,2615,269,"sauvignon",0,1,13,"中低",9
"952","6220307","澳大利亚(Australia)",1,9,64,328,"syrah",0,1,13.5,"中高",9
"1039","6224293","智利(Chile)",1,0,24,206,"cabernet",0,1,14.5,"重",0
