"","Soldnum","Price","Alcohol_Content","Reserve","COO","Variety","Body","Protected_indicator_of_origin","Rating","No_of_reviews"
"158","0","109","13","0000","智利(Chile) 中央山谷(Central Valley)","100%赤霞珠(Cabernet Sauvignon)","中高","智利优质酒庄","100","116"
"159","2","280","13.5","2011","法国(France) 波尔多(Bordeaux)","70%赛美蓉(Semillion)、30%长相思(Sauvignon Blanc)","中","波尔多AOC","90","37"
"160","0","98","9.5","0000","意大利(Italy) 威尼托(Veneto)","上特雷维索典型芳香葡萄品种(Aromatic varieties typical of the upper Treviso area)","中","NV","80","30"
"161","0","69","12.5","0000","法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","40%歌海娜(Grenache)、20%希拉(Syrah)、20%佳丽酿(Carignan)、10%慕和怀特(Mourvedre),可贝尔AOP,0.0","中","可贝尔AOP","80","4"
"162","1","419","13.5","0000","智利(Chile) 中央山谷(Central Valley)","85%赤霞珠(Cabernet Sauvignon)、15%美乐(Merlot)","中高","智利优质酒庄","100","27"
"163","0","169","13","2009","法国(France) 波尔多(Bordeaux)","梅洛(Merlot)、赤霞珠(Cabernet Sauvignon)、品丽珠(Cabernet Franc)","中高","中级庄副牌","90","5"
"164","0","369","13.5","2008","法国(France) 波尔多(Bordeaux)","美乐(Merlot),赤霞珠(Cabernet Sauvignon),小味多(Petit Verdot)","中高","中级庄","90","5"
"165","0","68","11.5","2011","法国(France) 西南产区(Sud-Ouest)","大芒森(Gros Menseng)","中","IGP","90","23"
"166","0","209","12.5","0000","西班牙(Spain) 卡斯蒂利亚和雷昂(Castilla y Leon)","85%丹魄(Tempranillo),15%歌海娜(Garnacha)","中低","VDLT","90","56"
"167","0","179","13","2011","新西兰(New Zealand) 霍克湾(Hawke's Bay)","美乐(Merlot),赤霞珠(Cabernet Sauvignon)","中高","新西兰优质酒庄","70","10"
"168","1","52","9.5","0000","德国(Germany) 莱茵黑森(Rheinhessen)","100%雷司令(Riesling)","中低","德国Pradikatswein Spatlese等级","90","164"
"169","0","99","9.5","0000","意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","马拉尼(Marani),萨拉米诺,(Salamino)马赛笛,(Maestri)","轻","意大利优质酒庄","90","48"
